Etiquetas de fila;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999
Almendro; 8,324.11 ; 8,724.21 ; 9,401.03 ; 9,386.64 ; 9,057.40 ; 8,866.78 ;8,863.40;8,341.32;8,113.50;8,088.94;8,569.45;8,547.90;8,548.87;8,545.18;7,617.13;6,924.16;6,192.29;5,827.23;5,822.35;5,820.14;5,691.21;5,540.42;5,122.10;5,112.66;5,121.69;5,121.93
Avellano; 49,263.54 ; 36,375.10 ; 36,393.23 ; 24,455.81 ; 24,429.50 ; 24,436.78 ;13,103.55;13,109.76;13,108.74;8,712.10;8,686.88;8,663.66;5,722.38;3,439.67;3,439.67;3,439.00;3,439.00;3,439.00;1,553.17;868.03;868.35;868.85;874.10;874.10;43.04;30.28
Castaño; 1,455.70 ; 1,470.00 ; 1,470.00 ; 1,261.75 ; 1,262.80 ; 1,262.80 ;960.40;960.40;962.90;472.77;472.77;470.27;575.09;366.49;366.49;366.49;366.49;366.49;348.07;297.27;297.27;297.27;297.62;298.02;161.96;187.86
Nogal; 43,990.44 ; 44,626.33 ; 46,231.72 ; 43,734.87 ; 43,327.97 ; 40,800.85 ;36,818.57;35,277.40;30,963.85;27,941.33;24,403.87;18,988.84;17,004.12;16,253.47;15,451.43;12,548.82;11,128.24;10,066.84;9,733.95;9,616.27;9,229.90;7,777.32;7,746.14;7,006.07;6,935.35;6,911.69
Nuez de macadamia; 0.90 ; 0.90 ; 1.29 ; 1.29 ; 1.29 ; 0.81 ;0.81;0.81;0.25;0.25;0.79;0.61;0.61;0.61;0.71;0.71;0.12;0.05;0.05;0.05;0.37;0.37;0.37;0.37;0.37;0.37
Pecana; 18.39 ; 12.32 ; 10.40 ; 12.23 ; 15.16 ; 15.21 ;17.01;22.01;21.96;16.37;19.09;19.59;19.59;19.59;35.86;35.86;35.88;35.38;36.88;36.88;6.74;6.78;9.28;9.28;12.35;12.35
Pistacho; 157.18 ; 148.54 ; 136.56 ; 146.17 ; 149.30 ; 103.49 ;97.53;96.86;61.33;58.73;72.12;61.25;62.73;62.59;63.01;65.32;43.68;42.60;25.38;24.23;21.44;8.07;3.77;3.66;3.66;3.66
