producto;año;mes;Valor CIF acomulado
avellana;2025;septiembre;3.256.396,32
avellana;2024;diciembre;386.099,80
avellana;2023;diciembre;1.590.006,00
avellana;2022;diciembre;1.225.758,90
avellana;2021;diciembre;821.071,40
avellana;2020;diciembre;1.806.229,80
avellana;2019;diciembre;1.806.229,80
avellana;2018;diciembre;1.096.239,00
avellana;2017;diciembre;0
avellana;2016;diciembre;2.571,70
avellana;2015;diciembre;17.144,10
avellana;2014;diciembre;82.936,60
