producto;año;mes;Valor CIF acomulado
nuez;2025;septiembre;120.000
nuez;2024;diciembre;135.376,60
nuez;2023;diciembre;121.521,40
nuez;2022;diciembre;363.789,60
nuez;2021;diciembre;835.597,50
nuez;2020;diciembre;1.081.716,90
nuez;2019;diciembre;778.223,20
nuez;2018;diciembre;73.953,20
nuez;2017;diciembre;114.877,30
nuez;2016;diciembre;745.341,00
nuez;2015;diciembre;807.862,00
nuez;2014;diciembre;3.404.530,70
