producto;año;mes;Valor CIF acomulado
pistacho;2025;septiembre;1.985.887,74
pistacho;2024;diciembre;1.344.015,70
pistacho;2023;diciembre;1.501.598,40
pistacho;2022;diciembre;1.218.029,70
pistacho;2021;diciembre;1.756.361,20
pistacho;2020;diciembre;1.017.710,80
pistacho;2019;diciembre;830.321,30
pistacho;2018;diciembre;254.386,80
pistacho;2017;diciembre;350.183,30
pistacho;2016;diciembre;1.053.531,70
pistacho;2015;diciembre;500.429,20
pistacho;2014;diciembre;792.083,20
