producto;año;mes;Valor CIF acomulado
castaña;2025;septiembre;0
castaña;2024;diciembre;149.818,40
castaña;2023;diciembre;77.483,80
castaña;2022;diciembre;18.246,80
castaña;2021;diciembre;1.195,30
castaña;2020;diciembre;13,9
castaña;2019;diciembre;1.710,90
castaña;2018;diciembre;584,3
castaña;2017;diciembre;4.722,70
castaña;2016;diciembre;0
castaña;2015;diciembre;358,9
castaña;2014;diciembre;358,9
