especie;año;hectareas;;;;;;;;;;;;;;;;;;;;;;;;
Nogal;2016;30963.85;;;;;;;;;;;;;;;;;;;;;;;;
Nogal;2015;27941.33;;;;;;;;;;;;;;;;;;;;;;;;
Nogal;2014;24403.87;;;;;;;;;;;;;;;;;;;;;;;;
Nogal;2013;18988.84;;;;;;;;;;;;;;;;;;;;;;;;
Nogal;2012;17004.12;;;;;;;;;;;;;;;;;;;;;;;;
Nogal;2011;16253.47;;;;;;;;;;;;;;;;;;;;;;;;
Nogal;2010;15451.43;;;;;;;;;;;;;;;;;;;;;;;;
Nogal;2009;12548.82;;;;;;;;;;;;;;;;;;;;;;;;
Nogal;2008;11128.24;;;;;;;;;;;;;;;;;;;;;;;;
Nogal;2007;10066.84;;;;;;;;;;;;;;;;;;;;;;;;
Nogal;2006;9733.95;;;;;;;;;;;;;;;;;;;;;;;;
Nogal;2005;9616.27;;;;;;;;;;;;;;;;;;;;;;;;
Nogal;2004;9229.9;;;;;;;;;;;;;;;;;;;;;;;;
Nogal;2003;7777.32;;;;;;;;;;;;;;;;;;;;;;;;
Nogal;2002;7746.14;;;;;;;;;;;;;;;;;;;;;;;;
Nogal;2001;7006.07;;;;;;;;;;;;;;;;;;;;;;;;
Nogal;2000;6935.35;;;;;;;;;;;;;;;;;;;;;;;;
Nogal;1999;6911.69;;;;;;;;;;;;;;;;;;;;;;;;
Nuez de macadamia;2024;0.9;;;;;;;;;;;;;;;;;;;;;;;;
Nuez de macadamia;2023;0.9;;;;;;;;;;;;;;;;;;;;;;;;
Nuez de macadamia;2022;1.29;;;;;;;;;;;;;;;;;;;;;;;;
Nuez de macadamia;2021;1.29;;;;;;;;;;;;;;;;;;;;;;;;
Nuez de macadamia;2020;1.29;;;;;;;;;;;;;;;;;;;;;;;;
Nuez de macadamia;2019;0.81;;;;;;;;;;;;;;;;;;;;;;;;
Nuez de macadamia;2018;0.81;;;;;;;;;;;;;;;;;;;;;;;;
Nuez de macadamia;2017;0.81;;;;;;;;;;;;;;;;;;;;;;;;
Nuez de macadamia;2016;0.25;;;;;;;;;;;;;;;;;;;;;;;;
Nuez de macadamia;2015;0.25;;;;;;;;;;;;;;;;;;;;;;;;
Nuez de macadamia;2014;0.79;;;;;;;;;;;;;;;;;;;;;;;;
Nuez de macadamia;2013;0.61;;;;;;;;;;;;;;;;;;;;;;;;
Nuez de macadamia;2012;0.61;;;;;;;;;;;;;;;;;;;;;;;;
Nuez de macadamia;2011;0.61;;;;;;;;;;;;;;;;;;;;;;;;
Nuez de macadamia;2010;0.71;;;;;;;;;;;;;;;;;;;;;;;;
Nuez de macadamia;2009;0.71;;;;;;;;;;;;;;;;;;;;;;;;
Nuez de macadamia;2008;0.12;;;;;;;;;;;;;;;;;;;;;;;;
Nuez de macadamia;2007;0.05;;;;;;;;;;;;;;;;;;;;;;;;
Nuez de macadamia;2006;0.05;;;;;;;;;;;;;;;;;;;;;;;;
Nuez de macadamia;2005;0.05;;;;;;;;;;;;;;;;;;;;;;;;
Nuez de macadamia;2004;0.37;;;;;;;;;;;;;;;;;;;;;;;;
Nuez de macadamia;2003;0.37;;;;;;;;;;;;;;;;;;;;;;;;
Nuez de macadamia;2002;0.37;;;;;;;;;;;;;;;;;;;;;;;;
Nuez de macadamia;2001;0.37;;;;;;;;;;;;;;;;;;;;;;;;
Nuez de macadamia;2000;0.37;;;;;;;;;;;;;;;;;;;;;;;;
Nuez de macadamia;1999;0.37;;;;;;;;;;;;;;;;;;;;;;;;
Pecana;2024;18.39;;;;;;;;;;;;;;;;;;;;;;;;
Pecana;2023;12.32;;;;;;;;;;;;;;;;;;;;;;;;
Pecana;2022;10.4;;;;;;;;;;;;;;;;;;;;;;;;
Pecana;2021;12.23;;;;;;;;;;;;;;;;;;;;;;;;
Pecana;2020;15.16;;;;;;;;;;;;;;;;;;;;;;;;
Pecana;2019;15.21;;;;;;;;;;;;;;;;;;;;;;;;
Pecana;2018;17.01;;;;;;;;;;;;;;;;;;;;;;;;
Pecana;2017;22.01;;;;;;;;;;;;;;;;;;;;;;;;
Pecana;2016;21.96;;;;;;;;;;;;;;;;;;;;;;;;
Pecana;2015;16.37;;;;;;;;;;;;;;;;;;;;;;;;
Pecana;2014;19.09;;;;;;;;;;;;;;;;;;;;;;;;
Pecana;2013;19.59;;;;;;;;;;;;;;;;;;;;;;;;
Pecana;2012;19.59;;;;;;;;;;;;;;;;;;;;;;;;
Pecana;2011;19.59;;;;;;;;;;;;;;;;;;;;;;;;
Pecana;2010;35.86;;;;;;;;;;;;;;;;;;;;;;;;
Pecana;2009;35.86;;;;;;;;;;;;;;;;;;;;;;;;
Pecana;2008;35.88;;;;;;;;;;;;;;;;;;;;;;;;
Pecana;2007;35.38;;;;;;;;;;;;;;;;;;;;;;;;
Pecana;2006;36.88;;;;;;;;;;;;;;;;;;;;;;;;
Pecana;2005;36.88;;;;;;;;;;;;;;;;;;;;;;;;
Pecana;2004;6.74;;;;;;;;;;;;;;;;;;;;;;;;
Pecana;2003;6.78;;;;;;;;;;;;;;;;;;;;;;;;
Pecana;2002;9.28;;;;;;;;;;;;;;;;;;;;;;;;
